Winery,Year,Wine ID,Wine,Rating,num_review,acidity,fizziness,intensity,sweetness,tannin
Wijngoed Thorn,2022,1241368,Dornfelder 2022,0,21,,,,,
Wijngoed Thorn,2022,5456501,Frühburgunder 2022,0,13,,,,,
